"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","183","3.264","47.5","10.9","19.1","7.7","8.7","2.2","3.3","0.5",".",".",".",".",".",".",".","."
"421
Biopharm & Pharmacokinetics","001","","135","3.107","16.3","25.9","33.3","14.8","8.1","1.5",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","156","3.532","53.8","9.0","30.8","2.6","3.8",".",".",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","133","3.372","35.3","27.1","21.1","9.8","6.8",".",".",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","140","3.407","38.6","32.1","10.7","9.3","9.3",".",".",".",".",".",".",".",".",".",".","."
"541
Pharm Calc & Compounding","001","","135","3.585","57.8","14.8","19.3","3.0","5.2",".",".",".",".",".",".",".",".",".",".","."
"581
Mol & Cell Principles in Pharm","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Toxicology II","001","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"786
Natrl Prod Synth&Drug Discovry","001","","15","3.767","73.3","6.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","001","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","002","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","003","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
