"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"446","013","","21","",".",".",".",".",".",".",".",".",".","95.2",".",".",".",".",".","."
"446","014","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"446","015","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"446","016","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"446","017","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"446","019","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"446","020","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"446","021","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"446","022","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","Course Total","","335","",".",".",".",".",".",".",".",".",".","99.7",".",".",".",".",".","."
"447
Scholarship for Evd-Bsd Pract","003","","32","3.813","65.6","31.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"448
Leadership in Nursing","003","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"470","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"470","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","Course Total","","3","***","","","","","","","","","","","","","","","",""
"510
Culturally Congruent Practice","001","","19","3.842","94.7",".",".",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"517
Digital Health","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"590
Contemp Practices-Nursing","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"605
Phrmcotherpeut-Adv Prac Nurses","001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"674
Seminars in Mental Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"679
Nrsg Hnrs Rsrch Sem","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","096","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
