"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"","699
093","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","53","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacy Practice","710
001","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","13","3.692","76.9",".","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","740
007","29","3.879","79.3","17.2","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
008","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","55","3.818","78.2","12.7","3.6","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
007","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
008","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
075","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
272","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
275","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","57","3.886","80.7","15.8","3.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
006","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
007","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
008","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","66","3.962","93.9","4.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
006","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
007","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
008","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
006","66","3.803","69.7","22.7","6.1","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","760
007","67","3.873","83.6","7.5","9.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
008","60","3.875","85.0","6.7","6.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"","760
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
115","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
118","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
185","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
215","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
225","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
280","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
285","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","209","3.852","79.4","12.4","7.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","764
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","764
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","764
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","3","***","","","","","","","","","","","","","","","",""
"","769
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","Page 409 of 423",""
