"","722
042","25",".",".","","",".",".","","",".","",".","",".","100.0",".","",".",".","",".","",".","",".",".","."
"Clinicl Anatomy & Radiology","Course Total","26",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","31",".",".","","",".",".","","",".","",".","",".",".",".","","100.0",".","",".","",".","",".",".","."
"Racial Health Disparities WI","911
004","12",".",".","","",".",".","","",".","",".","",".","100.0",".","",".",".","",".","",".","",".",".","."
"MED SC-M
622","Dept. Total","69",".","",".","",".","",".","",".","",".","",".","55.1","",".","44.9","",".","",".","",".",".",".","."
"Summary by Level","","# 
Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","***","","","","","","","","","","","","","","","","100.0","",".","",".","",".",".",".","."
"Undergraduates","","2","***","","","","","","","","","","","","","","","","100.0","",".","",".","",".",".",".","."
"Prof Yr 1","","23",".","",".","",".","",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 2","","4","***","","","","","","","","","","","","","","","","100.0","",".","",".","",".",".",".","."
"Prof Yr 3","","6",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","34",".","",".","",".","",".","",".","",".","",".","94.1","",".","5.9","",".","",".","",".",".",".","."
"Professionals","","67",".","",".","",".","",".","",".","",".","",".","56.7","",".","43.3","",".","",".","",".",".",".","."
"","Dept. Total","69",".","",".","",".","",".","",".","",".","",".","55.1","",".","44.9","",".","",".","",".",".",".","."
