"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro US Ethnic/Am Ind Studies","102","001","36","3.875","88.9","2.8","5.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Contemp Afro-Am Soc","151","001","16","3.077",".","25.0","43.8","12.5",".",".",".",".",".",".",".",".","18.8",".",".","."
"Hip-Hop and Cont Am Society","154","001","170","3.859","77.1","16.5","3.5","0.6","0.6",".",".","1.8",".",".",".",".",".",".",".","."
"They: Race in Amer Lit","155","001","59","3.788","72.9","15.3","8.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","251","3.800","64.5","23.5","6.0",".",".","0.4",".","5.6",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","16","3.813","75.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233","001","104","3.069","24.0","26.0","13.5","18.3","12.5","2.9","1.0",".",".",".",".",".","1.9",".",".","."
"Intro to Afro-American Art","242","001","38","3.459","60.5","5.3","23.7",".","2.6",".","5.3",".",".",".",".",".",".",".","2.6","."
"Latin America-Introduction","260","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","271","002","8","3.250","25.0","50.0",".",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","271","003","29","3.690","69.0","17.2","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","41","3.634","63.4","22.0","4.9","2.4","4.9","2.4",".",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","34","3.813","47.1","20.6","2.9",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","12","3.208","33.3","33.3","16.7","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Blacks, Film, and Society","303","001","37","3.176","35.1","10.8","16.2","21.6","5.4",".","2.7","5.4",".",".",".",".","2.7",".",".","."
"W African Dance/Music-Americas","318","001","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","321","001","22","3.095","9.1","45.5","27.3",".","4.5","9.1",".",".",".",".",".",".","4.5",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","14","3.464","50.0","14.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","338","001","17","3.706","64.7","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Major Authors","525","001","27","3.780","66.7","11.1","14.8",".",".",".",".","3.7",".",".",".",".","3.7",".",".","."
"Colloq in Afro-Am History","631","001","9","3.375","11.1","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Topics in Afro-Am History","671","001","16","3.357","25.0","31.3","18.8","6.3","6.3",".",".",".",".",".",".",".","12.5",".",".","."
"Topics in Afro-Am Society","673","001","8","3.000",".","25.0","12.5",".","12.5",".",".",".",".",".",".",".","50.0",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","790","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Hist,Thry &Meth in Visual Cult","801","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
