"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"719
Intro to Qualitative Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"721
Addictions Counseling","001","","25","3.740","80.0","12.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"725
Career Couns & Job Placemnt","001","","14","3.679","85.7","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"788
Qual Rsch Mthds-Educ: Field I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"789
Qual Rsch Mthds-Educ: Field II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"860
Rehab Cnsl Psych-Clin Prac","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"872
Research in Spec Education","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"880
Rehab Cnsl Psych-Sup Prac 1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Internship","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Prac Tchng","Course Total","","5","***","","","","","","","","","","","","","","","",""
"940","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab Cnsl Psych-Supv Rsch","Course Total","","2","***","","","","","","","","","","","","","","","",""
"941","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"941","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship: Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"983
Smr:Profsnl Issues-RehabPsy","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"985
Indv/Disblty:Adv Rsch Mthds","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","17","",".",".",".",".",".",".",".","58.8","5.9",".",".","35.3",".",".",".","."
"999
Independent Reading","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
