"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"699","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","36","3.986","97.2","2.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","020","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","021","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"727","060","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","010","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"729","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"729","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"729","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","26","4.000","96.2",".",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Health Prgm Planning, Eval, QI","001","","25","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Found of Curr Dev&Eval-Nurs Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"786
Found of Teach&Learn in Nursng","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"787","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"787","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nursing Education Practicum","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"803
Adv Quant Design & Methods","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829
Clinical Leadership IV","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"906","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
