"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","262","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","265","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","266","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","267","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","269","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","270","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","127","4.000","98.4",".",".",".",".",".",".",".",".",".",".",".",".",".","1.6","."
"701
Cell Signals and Human Disease","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Improv for Scientists","003","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"720
Endocrinology and Metabolism","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"809","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"809","091","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care & Incarceration","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"902","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MSTP Phys-Sci Preceptorship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"916
Palliative Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
Hlth Informatics-Med Students","006","","65","4.000","81.5",".",".",".",".",".",".",".",".",".",".",".",".","18.5",".","."
"919
Individualized 4th Yr Clerk","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"933
Geriatric Elective","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematology/Oncology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"940","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy & Clinical Immunology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"942
Clin Electrophys-Milwaukee","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943
Cardiology Consultation Serv","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Ambulatory Cardiology","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"955
Hepatology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"965
Gastroenterology Clerkship","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"969","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"969","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Transfusion Med Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"971","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"971","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Infectious Disease Clerkship","Course Total","","3","***","","","","","","","","","","","","","","","",""
