"TERM : 1194","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2018-2019","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICINE
632","Dept. Total","302","3.969","73.2","4.0","0.3","",".","",".","",".","",".","15.2","",".",".","",".","1.7","",".","4.0","1.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","51","4.000","96.1",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","3.9","."
"Senior","","70","3.992","98.6","1.4",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","130","3.996","97.7","0.8",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".","1.5","."
"Graduate","","49","3.714","6.1","8.2",".","",".","",".","",".","",".","71.4","",".",".","",".","8.2","",".",".","6.1","."
"Prof Yr 1","","11","4.000","90.9",".",".","",".","",".","",".","",".","9.1","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","","3","***","","","","","","","","","","","","","","",".","",".","33.3","",".",".",".","."
"Prof Yr 3","","33","4.000","69.7",".",".","",".","",".","",".","",".","9.1","",".",".","",".",".","",".","21.2",".","."
"Prof Yr 4","","76","3.922","76.3","9.2","1.3","",".","",".","",".","",".","6.6","",".",".","",".",".","",".","6.6",".","."
"Professionals","","123","3.943","74.0","5.7","0.8","",".","",".","",".","",".","8.9","",".",".","",".","0.8","",".","9.8",".","."
"","Dept. Total","302","3.969","73.2","4.0","0.3","",".","",".","",".","",".","15.2","",".",".","",".","1.7","",".","4.0","1.7","."
