"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","056","","20","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","11","3.960","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","48","3.977","89.6","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".","2.1","."
"919
Individualized 4th Yr Clerk","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","49","3.978","89.8","4.1",".",".",".",".",".",".",".",".",".",".","4.1",".","2.0","."
