"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","220","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","221","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","11","4.000","81.8",".",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"923
Clin Nuclr Med Clerk-CSC/VA","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924
Gen Radiol Clerk-St Lukes","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"RADIOL
832","Dept. Total","","17","3.970","82.4","5.9",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
