"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Clinical Medicine II","602
001","54","3.731","53.7","38.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatrics","603
001","52","3.683","48.1","40.4","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Prev & Community Prac II","611
001","55","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professional Seminar III","618
001","52","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Patient Eval-Prim Care II","621
001","52","3.892","78.8","17.3","1.9",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Clinical Pharmacology II","641
001","54","3.537","33.3","40.7","25.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Emergency Medicine","648
001","52","3.635","36.5","53.8","9.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Methods II","651
001","54","3.620","40.7","42.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Skills Laboratory","660
001","51","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
001","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","44","3.909","84.1","13.6","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profess'l Smnr & Capstone II","718
001","54","",".",".",".",".",".",".",".",".",".","98.1",".",".",".",".",".","."
"Phy Asst Preceptor: Surgery","729
001","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Fam Med","739
001","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Int Med","749
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Asst Precptrshp: Emrg Med","759
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Preceptorship:Electve","769
001","54","3.991","96.3","1.9",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"PHY ASST
750","Dept. Total","682","3.786","40.9","21.1","6.6",".",".",".",".",".",".","30.9",".",".","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Graduate","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","","477","3.688","36.3","25.6","7.3",".",".",".",".",".",".","30.6",".",".","0.2",".",".","."
"Prof Yr 2","","150","3.884","54.0","8.7","3.3",".",".",".",".",".",".","32.7",".",".","0.7",".",".","."
"Prof Yr 3","","3","***","","","","","","","","","","33.3",".",".",".",".",".","."
"Prof Yr 4","","46","3.779","37.0","19.6","10.9",".",".",".",".",".",".","32.6",".",".",".",".",".","."
"Professionals","","676","3.785","40.4","21.3","6.7",".",".",".",".",".",".","31.2",".",".","0.3",".",".","."
"","Dept. Total","682","3.786","40.9","21.1","6.6",".",".",".",".",".",".","30.9",".",".","0.3",".",".","."
