"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","120","001","104","4.000","99.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.0"
"","120","002","100","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120","003","100","3.885","89.0","8.0",".","1.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"Marriage and Family","","Course Total","304","3.962","96.1","2.6",".","0.3","0.3",".","0.3",".",".",".",".",".",".",".",".","0.3"
"Amer Soc: How It Really Works","125","001","55","3.593","56.4","16.4","14.5","9.1","1.8",".",".","1.8",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","122","2.868","6.6","21.3","35.2","14.8","9.8","4.9","0.8",".",".",".",".",".","0.8","5.7",".","."
"","134","001","301","3.545","42.9","30.9","17.6","6.6","1.0",".",".",".",".",".",".",".","0.7",".",".","0.3"
"","134","002","83","3.759","71.1","19.3","6.0",".","2.4","1.2",".",".",".",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","384","3.592","49.0","28.4","15.1","5.2","1.3","0.3",".",".",".",".",".",".","0.5",".",".","0.3"
"The Sociology of Gender","138","001","87","3.355","40.2","23.0","18.4","8.0","6.9","1.1","1.1","1.1",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","63","3.722","58.7","28.6","11.1","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Population Problems","170","001","382","3.100","12.3","31.9","27.2","22.0","5.5","0.5","0.3",".",".",".",".",".",".","0.3",".","."
"Intercultural Dialogues","205","001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in ICD","206","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210","001","73","3.250","20.5","41.1","19.2","11.0","4.1","1.4","1.4",".",".",".",".",".","1.4",".",".","."
"The Sociological Enterprise","211","003","78","3.375","35.9","25.6","16.7","14.1","5.1",".",".",".",".",".",".",".","2.6",".",".","."
"","248","001","10","3.667","50.0","20.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","248","002","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","24","3.739","62.5","16.7","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","10","2.300",".","10.0","10.0","20.0",".",".","10.0",".",".",".",".",".",".","50.0",".","."
"Africa: Introductory Survey","277","001","15","3.615","60.0","6.7",".","20.0",".",".",".",".",".",".",".",".",".",".","13.3","."
"","320","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","066","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","092","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","109","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","171","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","209","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","18","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","5.6","5.6",".","."
"Meth-Sociological Inquiry","357","001","81","3.671","48.1","39.5","6.2","2.5","1.2",".",".",".",".",".",".",".","1.2",".",".","1.2"
"Stats for Sociologists I","360","001","53","3.160","34.0","26.4","11.3","13.2","7.5","5.7","1.9",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","10","3.050","30.0","30.0","10.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","31","3.355","25.8","38.7","19.4","12.9","3.2",".",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","20","3.800","75.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models-Social Sys","376","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421","001","17","3.029","35.3","17.6","17.6","11.8","5.9","5.9","5.9",".",".",".",".",".",".",".",".","."
"Criminology","441","002","95","3.605","55.8","23.2","13.7","3.2","3.2","1.1",".",".",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443","001","16","3.313","50.0","12.5","18.8","12.5",".",".","6.3",".",".",".",".",".",".",".",".","."
"Juvenile Delinquency","446","001","35","3.043","25.7","22.9","17.1","20.0","8.6","2.9","2.9",".",".",".",".",".",".",".",".","."
"Human Sexuality","453","001","57","2.895","8.8","24.6","36.8","14.0","8.8","5.3","1.8",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","456","001","14","3.393","35.7","35.7","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","","Page 321 of 423"
