"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"542
Veterinary Ophthalmology","001","","85","3.341","36.5","14.1","38.8","2.4","8.2",".",".",".",".",".",".",".",".",".",".","."
"544
Surgery Fundamentals","001","","96","3.693","54.2","32.3","12.5",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"547
Fundamentals of Anesthesiology","001","","96","3.620","53.1","21.9","21.9","2.1","1.0",".",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","85","2.971","20.0","15.3","30.6","14.1","16.5","3.5",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","85","",".",".",".",".",".",".",".","95.3",".",".",".",".","4.7",".",".","."
"634
Small Animal Anesthesia Lab","001","","85","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642
Large Animal Surgery","001","","38","4.000","18.4",".",".",".",".",".",".","81.6",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","19","4.000","68.4",".",".",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"645","001","","34","4.000","47.1",".",".",".",".",".",".","52.9",".",".",".",".",".",".",".","."
"645","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"645","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","37","4.000","51.4",".",".",".",".",".",".","48.6",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","35","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","20","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"675","001","","18","4.000","55.6",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"675","004","","34","4.000","94.1",".",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"675","005","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","008","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","010","","44","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","135","4.000","45.2",".",".",".",".",".",".","54.8",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","85","3.465","38.8","28.2","23.5","5.9","3.5",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","63","4.000","90.5",".",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","29","4.000","86.2",".",".",".",".",".",".","13.8",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"744
Restrnt/Anesth Exotic Anmls","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Food Animal Surgery","001","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","22","4.000","77.3",".",".",".",".",".",".","22.7",".",".",".",".",".",".",".","."
