"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","Section","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M
724","Dept. Total","","83","3.782","56.6","6.0","1.2","",".","3.6","",".","",".","25.3","",".",".","",".","3.6","2.4",".","1.2","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","2","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","","","7","3.571","71.4",".","14.3","",".","14.3","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","","9","3.654","77.8",".","11.1","",".","11.1","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","","","1","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","","70","3.865","52.9","7.1",".","",".","1.4","",".","",".","30.0","",".",".","",".","4.3","2.9",".","1.4","."
"Prof Yr 2","","","3","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","","3","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","","83","3.782","56.6","6.0","1.2","",".","3.6","",".","",".","25.3","",".",".","",".","3.6","2.4",".","1.2","."
