"","GENDER AND WOMENS STUDIESSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","101","001","234","3.908","87.2","9.8","1.3","0.9",".",".","0.4",".",".",".",".",".",".",".","0.4","."
"","101","002","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Women & Cultural Rep","","Course Total","254","3.907","86.6","10.6","1.2","0.8",".",".","0.4",".",".",".",".",".",".",".","0.4","."
"Womens Bodies-Hlth&Disease","103","001","288","3.848","81.6","11.1","4.2","1.7","0.7",".","0.3","0.3",".",".",".",".",".",".",".","."
"","248","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","248","002","10","3.450","30.0","50.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","","Course Total","15","3.567","46.7","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","299","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","320","002","38","3.842","84.2","5.3","7.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","320","003","38","3.554","47.4","23.7","18.4","5.3","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Topics-Gender, Women & Society","","Course Total","76","3.700","65.8","14.5","13.2","2.6","2.6",".",".",".",".",".",".",".","1.3",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","14","3.423","28.6","21.4","42.9",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","35","3.357","28.6","37.1","28.6",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","350","001","24","3.583","50.0","25.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women in the Classical World","351","001","45","3.422","46.7","28.9","13.3","2.2","2.2","4.4","2.2",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","24","3.261","25.0","25.0","41.7",".",".",".","4.2",".",".",".",".",".","4.2",".",".","."
"Topics in Gender & Disability","370","001","37","3.892","83.8","10.8","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender & Expressive Culture","428","001","34","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Queer of Color Critique","446","001","28","3.589","42.9","39.3","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Feminism&Soc&Culturl Theory","449","001","40","3.525","47.5","32.5","10.0","2.5","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","464","001","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","533","001","35","3.357","40.0","22.9","17.1","14.3","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","37","3.757","73.0","16.2","5.4",".","5.4",".",".",".",".",".",".",".",".",".",".","."
"Childbirth in the US","537","001","33","4.000","97.0",".",".",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Gender and Education","560","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","17","3.719","58.8","29.4",".",".","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"Adv Smr in LGBT St (Capstone)","642","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Gender&Women's Std","660","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","682","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis II","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis II","692","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Spec Topics-Gender&Wmn Studies","720","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 335 of 423",""
