"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Pharm Practice Experience II","426","001","133","3.947","91.0","8.3",".","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement I","462","001","135","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Develop & Engagement III","464","002","144","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","490","003","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","006","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","007","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","008","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","009","31","3.950","93.5",".",".","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"","490","012","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","","Course Total","153","3.946","92.2","4.6","2.0","0.7",".",".",".",".",".",".",".",".","0.7",".",".","."
"Intro-Phm Prac Experience IV","526","056","139","3.928","90.6","5.8","2.9",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills II","554","001","143","3.808","67.1","28.0","4.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556","001","144","3.135","18.8","27.8","29.9","14.6","7.6",".","1.4",".",".",".",".",".",".",".",".","."
"Intro: Antimicrobial Therapy","559","001","100","3.755","63.0","28.0","7.0","1.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570","001","139","3.313","20.9","34.5","35.3","5.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626","056","137","3.971","95.6","2.9","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation II","629","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","146","3.188","23.3","28.8","28.1","7.5","11.0",".","1.4",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills IV","654","001","137","3.555","37.2","42.3","14.6","5.8",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656","001","137","3.015","13.9","26.3","22.6","26.3","10.2",".","0.7",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657","001","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Critical Care","668","001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673","001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars in Mental Health Care","674","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","014","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","077","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","088","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 03, 2019","","","","","","","","","","","","","","","","","","","Page 408 of 423",""
