"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"300
Principles-Risk Management","001","","221","3.052","29.9","10.4","36.7","5.4","8.6","8.6","0.5",".",".",".",".",".",".",".",".","."
"365","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"365","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","Course Total","","2","***","","","","","","","","","","","","","","","",""
"640
Mgt-Insurance Enterprise","001","","29","3.328","31.0","20.7","37.9","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"660","001","","60","3.458","36.7","31.7","25.0","3.3","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"660","002","","58","3.552","58.6","13.8","19.0","3.4","3.4",".","1.7",".",".",".",".",".",".",".",".","."
"660","003","","48","3.573","50.0","25.0","18.8","2.1","4.2",".",".",".",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","Course Total","","166","3.524","48.2","23.5","21.1","3.0","3.0","0.6","0.6",".",".",".",".",".",".",".",".","."
"701
Managing Legal Risks","001","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"765
Contemporary Topics","030","","43","3.488","32.6","32.6","34.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Adv Topics in Risk Management","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Read&Rsch-Risk Mgt&Ins Phd","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","","506","3.302","39.3","17.8","28.7","3.6","5.1","4.0","0.4","1.2",".",".",".",".",".",".",".","."
