"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","475
002","","12","2.958","33.3","16.7","16.7","8.3","8.3","16.7",".",".",".",".",".",".",".",".",".","."
"","475
003","","16","2.563","18.8","12.5","25.0","12.5","12.5","6.3","12.5",".",".",".",".",".",".",".",".","."
"","475
004","","21","3.119","19.0","28.6","14.3","33.3","4.8",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","","49","2.898","22.4","20.4","18.4","20.4","8.2","6.1","4.1",".",".",".",".",".",".",".",".","."
"","496
001","","32","3.583","40.6","37.5","6.3","9.4",".",".",".","3.1",".",".",".",".","3.1",".",".","."
"","496
009","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","","38","3.609","50.0","31.6","5.3","7.9",".",".",".","2.6",".",".",".",".","2.6",".",".","."
"","497
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","497
00B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Study Abroad in Sociology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Public Hlth-Rural & Urban Comm","533
001","","18","3.833","61.1","16.7","5.6",".",".",".",".","5.6",".",".",".",".","11.1",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540
001","","18","3.111","44.4","27.8",".","5.6","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Community Organization&Change","573
001","","22","3.605","63.6","9.1","4.5","4.5",".",".","4.5",".",".",".",".",".","13.6",".",".","."
"Social Movements","626
001","","24","3.583","50.0","25.0","20.8",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630
001","","23","3.664","47.8","30.4","17.4",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Cap, Soc, Democ-Am 1890 on","670
001","","24","3.283","29.2","16.7","33.3","12.5","4.2",".",".",".",".",".",".",".",".","4.2",".","."
"Senior Thesis","691
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Analysis & Research","693
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","694
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Cmpartv&Hist Methods-Sociol","753
001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Methods-Qualitative Resch","755
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Demographic Techniques II","756
002","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Classical Theory","773
001","","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Compr Soc/Contemp Capitlsm","918
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Political Sociology","924
002","","8","3.917","62.5","12.5",".",".",".",".",".","12.5",".",".",".",".","12.5",".",".","."
"Smr: Sociol-Econ Change","940
001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","955
002","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","955
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Qualitative Methodology","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","971
001","","9","3.917","55.6","11.1",".",".",".",".",".","11.1",".",".",".",".","22.2",".",".","."
"","971
002","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Topics-Demography&Ecol","Course Total","","19","3.938","73.7","10.5",".",".",".",".",".","5.3",".",".",".",".","10.5",".",".","."
