"TERM : 1194","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2018-2019","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUMAN ONCOLOGY","","Section
#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","H ONCOL","43
Dept. Total","4.000","67.4","",".","",".","",".","",".","",".","",".","27.9","",".",".","",".","4.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","1","***","","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
