"MED","","","","","","","","","","","","","","","","","","","",""
"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"699","100","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.913","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812
Third Year Anesthesia","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Clin Anesthes Clerkship-CSC","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"ANESTHES
148","Dept. Total","","13","3.833","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
