"COMMUNICATION SCI & DISORD Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","156","3.731","64.7","26.9","5.8",".","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","66","3.394","40.9","24.2","19.7","9.1","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","69","3.623","60.9","20.3","10.1",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Neural Base Comm","210","001","162","3.180","27.2","33.3","16.0","11.1","5.6","3.7","2.5","0.6",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","78","3.923","85.9","12.8","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","63","3.897","92.1","4.8",".",".","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","81","3.870","79.0","16.0","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","73","3.424","32.9","24.7","35.6","4.1","1.4",".",".",".",".",".",".",".",".",".",".","1.4"
"Senior Honors Thesis","681","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","022","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","024","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"","699","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","47","3.984","91.5","6.4",".",".",".",".",".",".",".",".",".",".",".",".","2.1","."
"Lang&Cogntv-Com Dis in Adults","704","001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Methods in Lang Dis","709","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone in Comm Sci & Dis","752","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","7","3.917","71.4","14.3",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","790","007","14","3.963","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","45","3.940","91.1","4.4",".",".","2.2",".",".",".",".",".",".",".","2.2",".",".","."
"Independent Study","799","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Audiol: Diag & Rehab","849","001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Amplification Systems I","856","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I","857","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
