"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"","930
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","930
002","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Geriatric Psychiat Clrk-VAH","Course Total","","2","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","","82","3.949","41.5","3.7","",".","",".","",".","",".","",".","1.2","",".",".","",".","",".","",".",".","53.7","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","6","3.808","66.7","33.3","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","8","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","34","3.969","94.1","5.9","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","44","",".",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"Prof Yr 4","","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","4","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","","82","3.949","41.5","3.7","",".","",".","",".","",".","",".","1.2","",".",".","",".","",".","",".",".","53.7","."
