"POPULATION HEALTH SCIENCESSection","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Publ Hlth:Local-Globl Perspect","370","001","410","3.474","34.4","36.8","19.8","4.9","2.9","0.2",".","0.2",".",".",".",".","0.7",".",".","."
"Intro-Environmental Health","471","001","58","3.603","37.9","46.6","13.8","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Methods-Pop Health","552","001","20","3.711","60.0","20.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","001","12","3.909","83.3",".","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","644","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644","004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644","005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health & Disease","","Course Total","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth","651","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","20","4.000","85.0",".",".",".",".",".",".","5.0",".",".",".",".","5.0",".","5.0","."
"Intro to Community Engagement","715","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Medicine","728","044","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"IP Public Health Leadership","758","001","17","3.875","82.4",".","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"MPH Field Experience Seminar","787","001","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Field Experience","788","001","15","3.917","46.7","13.3",".",".",".",".",".",".",".",".",".",".","40.0",".",".","."
"Environmental Health","789","001","54","3.961","88.9","3.7","1.9",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Intro-Health Services Research","796","001","12","3.591","41.7","33.3","8.3","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Epidemiologic Methods","798","001","27","3.537","44.4","29.6","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Practice of Epidemiology","806","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Netwrk Anlysis & Health","819","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Economics","848","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Measuring Health Outcomes","876","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Health Genomics","888","001","19","3.694","73.7","5.3","10.5",".",".","5.3",".",".",".",".",".",".","5.3",".",".","."
"","915","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","915","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","915","050","7","3.750","42.9","42.9",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Internl Hlth Systems & Policy","","Course Total","16","3.767","56.3","31.3","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Smr-Phys Activity Epidemiology","955","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
