"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"So You Want to Chng the World?","100
001","29","3.845","86.2","3.4","6.9",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","54","3.685","55.6","29.6","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","89","3.591","52.8","19.1","20.2","5.6","1.1",".",".",".",".",".",".",".","1.1",".",".","."
"Introduction-Social Policy","206
001","62","3.025","11.3","32.3","27.4","17.7","6.5",".","3.2","1.6",".",".",".",".",".",".",".","."
"","401
006","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
007","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","9","3.613","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","13","3.957","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","11","3.904","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
101","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
102","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
201","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","110","3.936","88.2","10.9","0.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
010","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
020","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","112","3.532","44.6","37.5","8.0","2.7","2.7","0.9","1.8","1.8",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","67","3.598","43.3","38.8","10.4","4.5","1.5",".",".",".",".",".",".",".","1.5",".",".","."
"Family Violence","523
001","8","3.625","50.0","37.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","13","3.308","7.7","53.8","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","41","3.500","34.1","39.0","19.5","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","25","3.420","20.0","48.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","28","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
003","24","3.458","20.8","50.0","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Gnlst Pract","Course Total","77","3.578","36.4","44.2","18.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
001","18","3.667","55.6","33.3","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","640
002","20","3.725","55.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
003","17","3.656","41.2","41.2","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"","640
010","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
011","22","3.643","50.0","31.8","9.1",".","4.5",".",".",".",".",".",".",".","4.5",".",".","."
"","640
020","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","105","3.709","56.2","31.4","7.6","1.0","1.9",".",".",".",".",".",".",".","1.0","1.0",".","."
"","644
001","29","3.828","75.9","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
030","33","3.625","39.4","45.5","9.1","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Issues in Dev. Disabilities","Course Total","62","3.729","56.5","32.3","8.1","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"End-of-Life Pract. Challenges","648
001","18","3.464","11.1","66.7","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","80","3.776","70.0","15.0","10.0","1.3","1.3",".",".",".",".",".",".",".","2.5",".",".","."
