"EDU","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","28","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","10","3.857","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148
001","55","3.573","58.2","23.6","9.1","3.6","1.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"Neurology","502
001","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503
001","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546
001","17","3.647","29.4","70.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","639
001","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648
001","18","3.611","22.2","77.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662
002","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","Course Total","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664
002","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","Course Total","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Neural Basis-Norm&Path Mov","713
001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Directed Study","799
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","241","3.692","46.9","29.9","7.9","0.8","0.4","0.4","0.4","0.4",".","12.9",".",".",".",".",".","."
