"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","290","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"910","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","10","3.938","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
