"Ind Study in Med History","","","","","","","","","","","","","","","","","","","","","","","",""
"Reading and Research","890
003","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Grad Studies-Medical Hist","919
001","3","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
001","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"MED HIST
452","Dept. Total","106","3.502","34.0","34.9","22.6","4.7","0.9","",".","",".","1.9","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","3.500","33.3","33.3","33.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","16","3.300","12.5","43.8","25.0","12.5",".","",".","",".","6.3","",".",".","",".","",".",".",".",".","."
"Senior","","55","3.500","38.2","30.9","23.6","5.5","1.8","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","74","3.459","32.4","33.8","24.3","6.8","1.4","",".","",".","1.4","",".",".","",".","",".",".",".",".","."
"Special","","9","3.654","33.3","33.3","33.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","","22","3.663","36.4","40.9","13.6",".",".","",".","",".","4.5","",".",".","",".","",".","4.5",".",".","."
"Prof Yr 4","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","106","3.502","34.0","34.9","22.6","4.7","0.9","",".","",".","1.9","",".",".","",".","",".","0.9",".",".","."
