"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","119","3.177","30.3","12.6","35.3","7.6","8.4","2.5","0.8","1.7",".",".",".",".",".",".",".","0.8"
"401
Survey of Pharmacology","001","","188","3.614","66.0","5.3","18.6","6.9","2.7","0.5",".",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","147","2.895","8.8","21.1","30.6","23.1","14.3","2.0",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","115","2.996","17.4","21.7","25.2","20.9","11.3","3.5",".",".",".",".",".",".",".",".",".","."
"491
Selected Topics-Pharm Sci","001","","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"492
Selected Topics-Pharm Sci","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521
Pharmacology I","001","","142","2.683","8.5","6.3","35.2","21.8","24.6","2.8","0.7",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","133","2.541","6.0","9.8","24.8","15.8","38.3","5.3",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","131","3.168","13.7","31.3","32.1","20.6","2.3",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","131","3.653","60.3","15.3","21.4","0.8","2.3",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","18","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","141","2.741","12.1","12.8","28.4","17.7","23.4","5.0","0.7",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","102","2.912","8.8","16.7","38.2","22.5","12.7","1.0",".",".",".",".",".",".",".",".",".","."
"645
Phmceut","001","","131","3.241","23.7","28.2","27.5","12.2","7.6","0.8",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","11","3.766","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Special Topics-Pharm Sci","001","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Conference-Research Workers","001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
