"Child Psych Clerk-Mendota","Course Total","","4","***","","","","","","","","","","","","","","","","","","","","","","",""
"","925
041","","2","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","925
042","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHIAT
814","Dept. Total","","93","3.599","35.5","48.4","14.0",".","",".","",".","",".","",".","1.1",".","",".","",".","",".",".",".","1.1"
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","76","3.567","28.9","53.9","15.8",".","",".","",".","",".","",".","1.3",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","16","3.775","62.5","25.0","6.3",".","",".","",".","",".","",".",".",".","",".","",".","",".",".",".","6.3"
"Professionals","","","92","3.597","34.8","48.9","14.1",".","",".","",".","",".","",".","1.1",".","",".","",".","",".",".",".","1.1"
"","Dept. Total","","93","3.599","35.5","48.4","14.0",".","",".","",".","",".","",".","1.1",".","",".","",".","",".",".",".","1.1"
