"REHAB PSYCH & SPECIAL EDU","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","95","3.579","49.5","32.6","9.5","5.3","2.1",".","1.1",".",".",".",".",".",".",".",".","."
"","300
002","64","3.794","64.1","29.7","3.1","1.6",".",".",".","1.6",".",".",".",".",".",".",".","."
"","300
020","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","170","3.675","56.5","30.6","7.1","3.5","1.2",".","0.6","0.6",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330
001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acad Instr:Learn & Behav Disab","469
001","22","3.705","45.5","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","32","3.938","96.9",".",".",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","471
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
002","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","471
003","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth&Curric:Lrn&Bhv Disabl,K-9","Course Total","29","3.897","82.8","13.8","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
002","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","472
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","Course Total","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","Course Total","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract:Stdts/Lrn&Bhv Dis, 6-12","Course Total","3","***","","","","","","","","","","","","","","","",""
"","001
477","6","3.914","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","21","3.975","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","478
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","36","3.750","61.1","30.6","5.6","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505
001","45","3.933","95.6",".","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessmnt Adults-Disablties","540
001","20","3.658","50.0","30.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"Rehab Psych-Psycho-Soc Asp","560
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","019
630","13","3.969","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
021","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","29","3.970","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","001
631","19","3.583","52.6","26.3","10.5",".",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"","690
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 78 of 399"
