"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","167","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","179","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","183","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","184","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","186","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","187","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","191","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","192","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","84.6",".",".",".",".",".",".","7.7",".",".",".",".",".",".","7.7","."
"812","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","081","","21","3.333","23.8","23.8","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"812","082","","25","3.417","20.0","40.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"812","083","","26","3.365","23.1","26.9","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","Course Total","","75","3.373","21.3","29.3","42.7","1.3",".",".",".",".","2.7",".",".",".",".",".",".","2.7"
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"914
Therapeutics I-Chronic Disease","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Therapeut&Cl Pharmacol-VAH","007","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","6","3.941","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","043","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","044","","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","045","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","046","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","90","3.806","67.8","25.6","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 345 of 399",""
