"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","81","3.556","42.0","33.3","21.0","1.2","2.5",".",".",".",".",".",".",".",".",".",".","."
"542
Veterinary Ophthalmology","001","","76","3.618","48.7","31.6","15.8","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","76","2.842","1.3","11.8","55.3","17.1","14.5",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","76","",".",".",".",".",".",".",".","98.7",".",".",".",".",".",".","1.3","."
"634
Small Animal Anesthesia Lab","001","","76","",".",".",".",".",".",".",".","97.4",".",".",".","2.6",".",".",".","."
"642","001","","29","4.000","17.2",".",".",".",".",".",".","82.8",".",".",".",".",".",".",".","."
"642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","30","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","15","4.000","13.3",".",".",".",".",".",".","86.7",".",".",".",".",".",".",".","."
"645","001","","34","4.000","32.4",".",".",".",".",".",".","67.6",".",".",".",".",".",".",".","."
"645","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","37","4.000","29.7",".",".",".",".",".",".","70.3",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","26","4.000","42.3",".",".",".",".",".",".","57.7",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","35","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"675","001","","14","4.000","42.9",".",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"675","008","","21","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Special Topics","Course Total","","35","4.000","17.1",".",".",".",".",".",".","22.9",".",".",".","60.0",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","3.917","50.0","12.5",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","26","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"745
Small Animal Orthopedics","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"747
Equine Lameness","001","","17","4.000","11.8",".",".",".",".",".",".","88.2",".",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
