"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","174","2.894","31.0","4.0","23.6","5.7","32.2","1.7","1.7",".",".",".",".",".",".",".",".","."
"","100","002","164","2.665","15.9","3.0","35.4","6.7","34.1","1.2","3.7",".",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","338","2.783","23.7","3.6","29.3","6.2","33.1","1.5","2.7",".",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","173","2.617","11.0","12.1","13.9","22.5","31.8","4.6","0.6","2.9","0.6",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","559","3.504","33.8","36.5","21.3","3.4","1.1","0.4",".","3.2",".",".",".",".",".","0.4",".","."
"Principles - Biological Anthro","105","001","167","2.948","12.6","28.7","26.9","13.8","10.8","3.6","2.4","0.6",".",".",".",".",".",".",".","0.6"
"Principles of Archaeology","112","001","110","3.509","50.0","30.0","9.1","6.4","0.9","0.9","2.7",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","120","001","20","2.975","25.0","35.0","25.0",".",".",".","15.0",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","22","2.795","13.6",".","54.5","13.6","13.6",".","4.5",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","49","3.408","26.5","46.9","16.3","6.1","2.0","2.0",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","20","3.350","25.0","30.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Prehistoric Europe","309","001","57","2.676","22.8","5.3","24.6","3.5","26.3","8.8","3.5","1.8",".",".",".",".","1.8",".","1.8","."
"","310","001","32","3.419","34.4","34.4","15.6","3.1","9.4",".",".",".","3.1",".",".",".",".",".",".","."
"","310","002","12","3.444","33.3","25.0",".","8.3","8.3",".",".","25.0",".",".",".",".",".",".",".","."
"Topics in Archaeology","","Course Total","44","3.425","34.1","31.8","11.4","4.5","9.1",".",".","6.8","2.3",".",".",".",".",".",".","."
"Indians of North America","314","001","33","3.167","24.2","27.3","27.3","6.1","12.1","3.0",".",".",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321","001","74","2.799","23.0","12.2","27.0","5.4","18.9","5.4","5.4","1.4",".",".",".",".",".","1.4",".","."
"Peoples of the Andes Today","327","001","28","3.375","42.9","25.0","17.9","7.1","3.6",".","3.6",".",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Ancient Maya","335","001","87","2.859","11.5","21.8","28.7","17.2","10.3","6.9","1.1","2.3",".",".",".",".",".",".",".","."
"Intro-Prehistory&Archaeol Prin","338","001","16","3.063","25.0","18.8","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","14","3.109","42.9","14.3","21.4",".","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"Elementary Quechua","361","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","363","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Anthropology","365","001","38","3.431","39.5","23.7","26.3",".","2.6",".","2.6","5.3",".",".",".",".",".",".",".","."
"Peoples&Cult-Cent&East Europe","369","001","38","3.475","50.0","13.2","15.8","5.3","7.9",".",".","7.9",".",".",".",".",".",".",".","."
"The Anthropology of War","374","001","31","4.000","93.5",".",".",".",".",".",".","6.5",".",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Anthropology of South Asia","462","001","13","3.750","69.2","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"","490","001","11","3.182","36.4","9.1","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","490","002","16","3.000","12.5","31.3","37.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","27","3.074","22.2","22.2","33.3","7.4","11.1",".","3.7",".",".",".",".",".",".",".",".","."
"Folklore-Festivls&Celebratn","539","001","11","3.550","36.4","27.3","27.3",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Anthropology and Education","570","001","24","3.417","16.7","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnicity, Nations&Nationalism","606","001","10","3.953","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","21","3.357","23.8","47.6","14.3","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","690","001","17","3.818","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","698","069","1","***","","","","","","","","","",".",".",".",".",".",".","."
