"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
001","435","3.063","20.0","20.0","30.6","15.4","10.6","1.4","0.9","1.1",".",".",".",".",".",".",".","."
"Contemporary Amer Society","125
001","323","3.044","18.3","26.3","27.9","12.7","8.7","4.6","0.9","0.3",".",".",".",".",".","0.3",".","."
"Social Problems","130
001","89","3.022","22.5","22.5","30.3","9.0","9.0","2.2","4.5",".",".",".",".",".",".",".",".","."
"","131
001","126","2.718","14.3","7.9","29.4","15.9","25.4","4.0","1.6","1.6",".",".",".",".",".",".",".","."
"","131
002","13","3.769","84.6",".",".","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","Course Total","139","2.794","20.9","7.2","26.6","15.8","23.0","3.6","1.4","1.4",".",".",".",".",".",".",".","."
"","134
001","426","3.341","19.5","42.7","25.4","9.2","1.6","0.5",".","1.2",".",".",".",".",".",".",".","."
"","134
003","82","3.160","13.4","24.4","35.4","14.6","3.7",".",".","7.3",".",".",".",".","1.2",".",".","."
"","134
004","88","3.568","62.5","18.2","9.1","4.5","2.3",".","3.4",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","596","3.350","25.0","36.6","24.3","9.2","2.0","0.3","0.5","1.8",".",".",".",".","0.2",".",".","."
"The Sociology of Gender","138
001","201","3.198","25.4","32.3","19.4","14.9","2.5","1.5","3.0","1.0",".",".",".",".",".",".",".","."
"Intro-Rural Sociol&Development","140
001","26","3.673","42.3","50.0","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","58","3.339","24.1","32.8","27.6","8.6","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"Population Problems","170
001","18","3.722","55.6","38.9",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","22","3.919","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199
056","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","25","3.929","88.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","116","3.375","31.9","29.3","27.6","6.0","4.3","0.9",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","90","3.112","24.4","24.4","28.9","4.4","12.2","2.2","2.2",".",".",".",".",".",".","1.1",".","."
"Ethnic Movements in U.S.","220
001","45","3.284","31.1","26.7","28.9","2.2","2.2","6.7",".","2.2",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Chinese Society","225
001","22","3.368","27.3","27.3","18.2","9.1","4.5",".",".","9.1",".",".",".",".",".","4.5",".","."
"SE Asia:Vietnam to Philipns","001
244","22","3.357","40.9","22.7","9.1","18.2",".","4.5",".","4.5",".",".",".",".",".",".",".","."
"","248
001","22","3.000","40.9","9.1","22.7","9.1","4.5","4.5","9.1",".",".",".",".",".",".",".",".","."
"","002
248","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","Course Total","35","3.329","54.3","14.3","14.3","5.7","2.9","2.9","5.7",".",".",".",".",".",".",".",".","."
"Organizations and Society","250
001","38","3.676","52.6","34.2","5.3","2.6","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"Civs of India-Modern Period","252
001","17","3.206","29.4","23.5","35.3","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"People&Places:Demog-Rur Am","266
001","26","3.192","15.4","46.2","26.9",".","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","20","2.775","10.0",".","45.0","25.0","20.0",".",".",".",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327
001","25","3.140","16.0","32.0","28.0","12.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","357
001","31","3.467","29.0","41.9","16.1","9.7",".",".",".",".",".",".",".",".","3.2",".",".","."
"","357
002","33","3.333","9.1","51.5","36.4","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"","003
357","21","3.810","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
004","22","3.114","13.6","36.4","31.8","13.6",".",".","4.5",".",".",".",".",".",".",".",".","."
"","357
005","31","3.274","19.4","41.9","19.4","12.9","6.5",".",".",".",".",".",".",".",".",".",".","."
"","357
006","35","3.343","31.4","22.9","37.1","5.7",".","2.9",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","173","3.378","26.0","38.7","24.9","7.5","1.2","0.6","0.6",".",".",".",".",".","0.6",".",".","."
"Dsgn&Analysis-Social Rsch","358
001","24","3.792","91.7",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Statis Analysis-Social Rsch","359
001","24","3.167","37.5","25.0","16.7","8.3","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"","360
001","24","3.271","33.3","33.3","16.7","4.2","4.2","8.3",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 299 of 399",""
