"","920
042","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","920
043","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","920
044","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Rehabilitatn Med Clerk-CSC","Course Total","","10","3.500","90.0","",".","",".",".","",".","",".","10.0","",".","",".",".","",".","",".","",".",".",".","."
"RHAB MED
840","Dept. Total","","12","3.579","91.7","",".","",".",".","",".","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"840
RHAB MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","","1","0.000",".","",".","",".",".","",".","",".","100.0","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","4.000","100.0","",".","",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","4","4.000","100.0","",".","",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","6","4.000","100.0","",".","",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","12","3.579","91.7","",".","",".",".","",".","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","12","3.579","91.7","",".","",".",".","",".","",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
