"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Fundmtls Interntl Hlth-MSC","Course Total","","46","3.826","84.8",".","13.0",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"916","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"916","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diseas&Injry Epidem-DivHlth","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","20","",".",".",".",".",".",".",".","80.0",".",".",".","15.0","5.0",".",".","."
