"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","12","3.545","25.0","50.0","16.7",".",".",".",".",".","8.3",".",".",".",".",".",".","."
"812","042","","16","3.563","18.8","75.0","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","13","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","12","3.542","33.3","41.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","78","3.559","26.9","56.4","15.4",".",".",".",".",".","1.3",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"921
Behav Med Clerk-LaCrosse","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","3","***","","","","","","","","","","","","","","","",""
"924","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","4","***","","","","","","","","","","","","","","","",""
"925","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","3","***","","","","","","","","","","","","","","","",""
