"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"632
Companion Animal&Equine Med I","001","","76","3.079","18.4","18.4","40.8","5.3","17.1",".",".",".",".",".",".",".",".",".",".","."
"634
Food Animal Medicine","001","","76","2.888","2.6","15.8","55.3","9.2","17.1",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","17","4.000","82.4",".",".",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","18","4.000","61.1",".",".",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","22","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"670
Sr Rotation:Lrge Animal Med","001","","31","4.000","9.7",".",".",".",".",".",".","90.3",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","33","4.000","48.5",".",".",".",".",".",".","51.5",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","21","4.000","19.0",".",".",".",".",".",".","81.0",".",".",".",".",".",".",".","."
"675","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","22","4.000","40.9",".",".",".",".",".",".","59.1",".",".",".",".",".",".",".","."
"675","005","","22","",".",".",".",".",".",".",".","95.5",".",".",".",".",".","4.5",".","."
"675","024","","15","4.000","53.3",".",".",".",".",".",".","46.7",".",".",".",".",".",".",".","."
"675","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","026","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","027","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","113","4.000","15.9",".",".",".",".",".",".","83.2",".",".",".",".",".","0.9",".","."
"676
Sr Rotation:Swine Medicine","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"678
Small Animal Internal Med","001","","42","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","13","4.000","30.8",".",".",".",".",".",".","69.2",".",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","4.000","61.5",".",".",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"701
Production Medicine I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"703
Production Medicine II","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
