"MED","","","","","","","","","","","","","","","","","","","",""
"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"927","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Ophthalmolgy","Course Total","","2","***","","","","","","","","","","","","","","","",""
"928","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Pathology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"929","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"929","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Pediatrics","Course Total","","8","3.806","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Extramur Elect-Psychiatry","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Radiology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"933","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Rehab Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"934","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"934","042","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"934","043","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"934","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"934","045","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"934","046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Surgery","Course Total","","23","3.830","65.2","34.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","041","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","042","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","043","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"936","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elec-Emergency Med","Course Total","","23","3.696","52.2","34.8","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
