"","990
057","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
058","","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
059","","2","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research","Course Total","","16","3.978","81.3","6.3",".",".",".","",".","",".","",".",".",".","",".","",".","",".",".","12.5","."
"OBS&GYN
436","Dept. Total","","99","3.571","33.3","50.5","12.1",".","1.0","",".","",".","",".","1.0",".","",".","",".","",".",".","2.0","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","1","4.000","100.0",".",".",".",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".",".",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Graduate","","","14","3.974","78.6","7.1",".",".",".","",".","",".","",".",".",".","",".","",".","",".",".","14.3","."
"Prof Yr 3","","","72","3.490","18.1","63.9","15.3",".","1.4","",".","",".","",".","1.4",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","12","3.769","66.7","25.0","8.3",".",".","",".","",".","",".",".",".","",".","",".","",".",".",".","."
"Professionals","","","84","3.521","25.0","58.3","14.3",".","1.2","",".","",".","",".","1.2",".","",".","",".","",".",".",".","."
"","Dept. Total","","99","3.571","33.3","50.5","12.1",".","1.0","",".","",".","",".","1.0",".","",".","",".","",".",".","2.0","."
