"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","29","3.778","65.5","17.2","6.9","3.4",".",".",".","6.9",".",".",".",".",".",".",".","."
"","105
002","139","3.924","90.6","6.5","2.2",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"","105
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
010","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","194","3.924","88.1","7.2","2.6","0.5",".","0.5",".","1.0",".",".",".",".",".",".",".","."
"","001
212","128","3.516","28.9","50.0","17.2","3.1","0.8",".",".",".",".",".",".",".",".",".",".","."
"","212
002","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Nursing Practice","Course Total","141","3.521","29.1","50.4","17.0","2.8","0.7",".",".",".",".",".",".",".",".",".",".","."
"","219
001","128","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"","219
002","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","141","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"Independent Reading","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","301
001","127","3.634","35.4","55.9","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","140","3.650","37.9","54.3","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","54","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","84","3.976","97.6","1.2",".","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","89","3.978","97.8","1.1",".","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","64","3.867","84.4","10.9","1.6",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"","419
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","69","3.877","85.5","10.1","1.4",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","422
001","103","3.592","36.9","45.6","16.5","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","108","3.588","36.1","46.3","16.7","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
433","106","3.830","68.9","28.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","433
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","111","3.833","69.4","27.9","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","001
449","42","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in School Nursing","472
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
003","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
004","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","590
005","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
020","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","39","3.717","43.6","23.1","10.3",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
601","32","3.781","81.3","9.4",".","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"","002
601","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","Course Total","38","3.808","81.6","10.5",".","2.6","5.3",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Health Problems in Aged","611
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
041","2","***","","","","","","","","","",".",".",".",".",".",".","."
