"","922
043","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","922
045","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Radiation Oncology-CSC","Course Total","","14","3.921","85.7","7.1","7.1",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Rsch in Human Cancer Bio","990
022","","1","***","","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"H ONCOL
480","Dept. Total","","17","3.933","82.4","5.9","5.9",".","",".","",".","",".","",".","",".",".","",".","5.9","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","1","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","","","5","3.750","60.0",".","20.0",".","",".","",".","",".","",".","",".",".","",".","20.0","",".",".",".","."
"Prof Yr 4","","","11","3.971","90.9","9.1",".",".","",".","",".","",".","",".","",".",".","",".",".","",".",".",".","."
"Professionals","","","16","3.929","81.3","6.3","6.3",".","",".","",".","",".","",".","",".",".","",".","6.3","",".",".",".","."
"","Dept. Total","","17","3.933","82.4","5.9","5.9",".","",".","",".","",".","",".","",".",".","",".","5.9","",".",".",".","."
