"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","712
002","","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Soc Wrk","Course Total","","35","3.786","68.6","20.0","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Planning Analysis","721
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
001","","23","3.773","69.6","8.7","17.4",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
001","","11","3.750","54.5","27.3","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","800
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
005","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","800
011","","10","3.894","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","013
800","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
014","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","800
015","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Prac/Integrat Smr III","Course Total","","96","3.865","78.1","15.6","5.2",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"","801
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Administration-Social Work","841
001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consultatn&Suprvsn-Soc Work","842
001","","24","3.729","66.7","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Crises Intervention-Soc Wrk","854
001","","21","4.000","61.9",".",".",".",".",".",".","38.1",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","860
001","","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","861
001","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","861
002","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","Course Total","","41","3.963","92.7","7.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","862
001","","25","3.520","28.0","48.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","865
001","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Recent Developmnts-Soc Work","866
001","","22","3.750","63.6","27.3","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","921
001","","20","3.575","25.0","65.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","923
001","","6","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","935
001","","21","3.875","81.0","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","4.8","."
"","935
002","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Com Mental Health Services","Course Total","","38","3.892","81.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"Hist & Philos-Soc Welfare/Work","941
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
