"HUMAN DEVEL & FAMILY STUDI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","",""
"Independent Study","299
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
001","29","2.839","27.6","27.6","6.9","3.4","10.3","17.2","3.4","3.4",".",".",".",".",".",".",".","."
"","002
362","252","3.150","30.6","20.6","23.0","7.5","8.7","5.2","1.2","3.2",".",".",".",".",".",".",".","."
"Development of Young Child","Course Total","281","3.118","30.2","21.4","21.4","7.1","8.9","6.4","1.4","3.2",".",".",".",".",".",".",".","."
"","363
001","32","3.141","25.0","15.6","37.5","18.8",".",".","3.1",".",".",".",".",".",".",".",".","."
"","363
002","272","3.032","14.0","19.1","32.4","26.8","4.0","0.4","0.7","2.6",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","304","3.044","15.1","18.8","32.9","26.0","3.6","0.3","1.0","2.3",".",".",".",".",".",".",".","."
"Family&Com Influences-Child","469
001","29","3.569","41.4","31.0","27.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infants&Toddlers:Developmnt","470
001","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","52","3.981","98.1",".","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474
001","28","3.518","53.6","21.4","7.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"","501
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","29","3.569","34.5","44.8","20.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","51","3.755","62.7","25.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","516
001","27","3.852","74.1","22.2","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","31","3.468","32.3","41.9","12.9","12.9",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","22","3.682","54.5","31.8","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Family Perspctv-Policymakng","535
001","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","24","3.891","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","31","3.914","90.3","3.2","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Study of Young Child","001
662","30","3.117","3.3","43.3","30.0","20.0","3.3",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","21","3.762","66.7","23.8","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:Human Dev & Fam Studies","664
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infancy and the Family","760
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
766","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Analytc Approaches-Qual Resrch","773
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Parnt-Chld Across Life Crse","842
001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Theory I (Survey)","865
001","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 140 of 399",""
