"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"719","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","9","4.000","11.1",".",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"733
Birth&The Postbirth Period","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"739
Nursing Assessment of Dev","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"747","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"747","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","11","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"798","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","5","***","","","","","","","","","","","","","","","",""
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"811
Physiological Basis-Nursing","001","","17","3.676","47.1","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991
Smr-Nursing Research","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
