"TERM : 1164","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2015-2016","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUMAN ONCOLOGY","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","H ONCOL","39
Dept. Total","3.956","89.7","5.1","2.6","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","2.6","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"480","H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
