"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","252","3.536","46.8","27.4","17.5","6.0","1.6",".","0.8",".",".",".",".",".",".",".",".","."
"363
Develp: Adolescence-Old Age","001","","241","3.513","48.1","23.2","13.7","6.6","4.6","0.4","0.4","2.5",".",".",".",".",".",".","0.4","."
"425
Rsch Meth in Hum Devel&Fam St","001","","59","3.596","50.8","25.4","15.3","1.7","1.7","1.7",".",".",".",".",".",".","3.4",".",".","."
"471
Parent-Child Relations","001","","39","3.784","66.7","20.5","5.1",".","2.6",".",".",".",".",".",".",".","5.1",".",".","."
"474
Racial Ethnic Families in U.S.","001","","47","3.755","63.8","27.7","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","008","","64","3.523","62.5","12.5","14.1","1.6","4.7","3.1","1.6",".",".",".",".",".",".",".",".","."
"516
Family Stress and Resilience","001","","45","3.400","48.9","15.6","20.0","6.7","4.4","4.4",".",".",".",".",".",".",".",".",".","."
"517
Couple Relationships","001","","50","3.610","50.0","28.0","16.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","45","3.256","15.6","40.0","33.3","6.7","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"592
Research Experience in HDFS","001","","20","3.972","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","002","","53","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"663
Developmental & Fam Assessment","001","","46","3.978","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.545","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","22","3.938","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","",".",".",".",".",".",".",".","92.9",".",".",".",".","7.1",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
