"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","699
101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","812
001","","6","3.083",".","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
812","","9","3.556","44.4","22.2","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
812","","13","3.423","30.8","23.1","46.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
812","","12","3.250","8.3","33.3","58.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","10","3.200","20.0","10.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
008","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
009","","9","3.444","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
812","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","88","3.392","28.4","22.7","47.7","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","919
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
007","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"","919
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","14","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","920
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Clin Anesth Clerk-LaCrosse","921
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","930
003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
007","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".",".",".","18.2","."
"","930
008","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
009","","13","4.000","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","23.1","."
"","930
010","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","76","4.000","93.4",".",".",".",".",".",".",".",".",".",".",".",".",".","6.6","."
