"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"959","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","12","3.962","83.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"960","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Basic","Course Total","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"961","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"961","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"961","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Advanced","Course Total","","11","3.700","36.4","54.5",".",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"EMER MED
330","Dept. Total","","33","3.791","57.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".","6.1","."
