"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"Acting Inpt Internship-Peds","Course Total","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"953","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"956","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"956","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematol-Oncology Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"970
Pediatric Rheumatology","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","203","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","205","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","7","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"PEDIAT
708","Dept. Total","","159","3.676","66.0","10.7","15.7",".",".",".",".","6.9",".",".",".",".",".",".","0.6","."
