"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"920
Gen Surgery Clerkship-CSC","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","7","3.750","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"925
Gen Surg Clerk-Marshfield","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"926","041","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","042","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","043","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"926","044","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Surgery for the Non-Surgeon","Course Total","","25","3.700","52.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"929","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Surgery","Course Total","","2","***","","","","","","","","","","","","","","","",""
"940","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adt Orth-Non-Orth Clerk-CSC","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"941","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adult Orth & Fractures-VAH","Course Total","","7","3.813","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"944","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"944","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Upper Extrem Ortho-Marshfld","Course Total","","3","***","","","","","","","","","","","","","","","",""
"948","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"948","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 409 of 435",""
