"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","",""
"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof","306
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","407
003","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chronic Care Management","441
003","","9","3.222","11.1","55.6","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Research & Evidence Base Pract","446
003","","12","3.625","66.7",".","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Management","447
003","","12","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","453
003","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","454
003","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
020","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","490
022","","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","18","3.500","33.3","38.9","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","","93","3.644","53.8","26.9","11.8","6.5","1.1",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
