"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","20","3.971","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Hlth Care & Public Policy-US","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","020","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"727","060","","13","3.692","69.2","15.4","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","34","3.838","79.4","14.7","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"728
APN Clin Appl & Role Dev I","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"729","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"729","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729","060","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","061","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","35","3.900","85.7","5.7","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Spec Hlth Nd","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"761
Health Prgm Planning, Eval, QI","001","","44","3.953","90.9","4.5","2.3",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"785
Found of Curr Dev&Eval-Nurs Ed","001","","14","3.821","85.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"786
Found of Teach&Learn in Nursng","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"787
Nursing Education Practicum","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"802
Ethics & Conduct of Research","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803
Adv Quant Design & Methods","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Eval & App Evidence-Based Prac","001","","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"818
Patient-centered Research","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"829","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829","040","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829","060","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"829","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership IV","Course Total","","28","3.946","92.9","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"906
Scholarly Project","001","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 415 of 435",""
