"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","293","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","295","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","3.973","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","4","***","","","","","","","","","","","","","","","",""
