"BIOSTATISTICS & MED INFORM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Trials I","542
001","","22","3.905","81.8","9.1","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Regression Methods-Pop Health","552
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Image Analysis","567
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy","642
001","","6","3.083","33.3","16.7","33.3",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Advanced Bioinformatics","776
001","","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biostats & Biomed Informatics","826
003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computn&Informatcs in Biol&Med","915
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Informatics-Med Students","918
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"B M I
210","Dept. Total","","61","3.699","65.6","18.0","4.9","1.6","1.6","1.6",".","6.6",".",".",".",".",".",".",".","."
