"TERM : 1164","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2015-2016","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MOLECULAR & ENVIRONMENTA Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"362","M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"362","M&ENVTOX","89
Dept. Total","3.885","18.0","3.4","1.1","",".","",".","",".","",".","70.8","",".",".","",".","3.4","3.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"362","M&ENVTOX","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","1","***","","","","","","","","","","","","","","",".","",".",".",".",".",".","."
