"GENDER AND WOMENS STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Cultural Rep","101","001","238","3.595","43.7","44.1","7.6","1.3","0.8","1.3","0.8",".",".",".",".",".","0.4",".",".","."
"Womens Bodies-Hlth&Disease","103","001","242","3.700","71.1","14.0","7.0","2.5","2.5","1.2","0.8","0.4",".",".",".",".",".",".","0.4","."
"Intro-Black Women Writers","222","001","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299","125","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310","001","43","3.679","46.5","34.9","7.0",".","2.3",".",".",".",".",".",".",".","7.0",".","2.3","."
"","310","002","31","3.621","61.3","9.7","16.1","3.2",".","3.2",".",".",".",".",".",".","6.5",".",".","."
"Gender, Women & the Humanities","","Course Total","74","3.654","52.7","24.3","10.8","1.4","1.4","1.4",".",".",".",".",".",".","6.8",".","1.4","."
"Topics-Gender, Women & Society","320","001","27","3.942","92.6",".",".","3.7",".",".",".",".",".",".",".",".","3.7",".",".","."
"Transgender History","346","001","45","3.273","40.0","15.6","22.2","6.7","8.9","4.4",".",".",".",".",".",".","2.2",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","41","3.476","39.0","29.3","22.0","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","46","3.565","45.7","32.6","15.2","2.2","4.3",".",".",".",".",".",".",".",".",".",".","."
"Women-African Diaspora&Africa","367","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Gender & Disability","370","001","32","3.823","75.0","9.4","12.5",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Women in History","392","001","31","3.145","12.9","45.2","29.0","3.2","3.2","3.2","3.2",".",".",".",".",".",".",".",".","."
"Women and the Law","422","001","18","3.361","38.9","16.7","38.9",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","28","3.607","42.9","39.3","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","14","3.286","21.4","21.4","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Women, Culture and Folklore","467","001","30","3.897","80.0","13.3","3.3",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","533","001","33","3.781","57.6","36.4","3.0",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"","533","002","22","3.273","22.7","40.9","18.2","13.6",".","4.5",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Women & Health","","Course Total","55","3.574","43.6","38.2","9.1","5.5",".","1.8",".","1.8",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","44","3.500","22.7","59.1","11.4","2.3","2.3",".",".",".",".",".",".",".","2.3",".",".","."
"Intersectionality","547","001","19","3.556","31.6","47.4","10.5","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"Capstone Smr in Gender & Wm St","640","001","40","3.756","62.5","25.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".","2.5","."
"Adv Smr in LGBT St (Capstone)","642","001","18","3.889","83.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship-Gender&Women's Std","660","001","17","3.676","52.9","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis II","692","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Spec Topics-Gender&Wmn Studies","720","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I","760","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Rsch in Women's/Gender Studies","900","001","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Independent Research","999","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
