"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305
001","41","3.115","12.2","31.7","34.1","4.9","9.8","2.4",".","2.4","2.4",".",".",".",".",".",".","."
"Pharm Practice Experience II","426
001","150","3.937","88.7","10.0","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
003","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
004","89","3.730","53.9","38.2","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
005","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
008","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
010","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","200","3.868","75.5","20.5","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience IV","526
056","123","3.984","97.6","1.6","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills II","554
001","124","3.730","52.4","41.9","4.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556
001","124","2.935","12.1","16.1","35.5","22.6","12.9",".","0.8",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
001","127","3.354","20.5","43.3","27.6","7.1","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Intro - Phm Prac Experience VI","626
056","128","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650
001","117","3.275","17.9","21.4","25.6","11.1","1.7",".",".","21.4","0.9",".",".",".",".",".",".","."
"Pharmacotherapy Skills IV","654
001","127","3.732","55.1","37.8","5.5","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656
001","127","2.951","9.4","22.8","33.1","21.3","11.8",".","1.6",".",".",".",".",".",".",".",".","."
"Sem Pediatric Pharmacotherapy","657
001","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet Supplmnt","672
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar:Global Health Pharmacy","673
001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminars-Psychiatric Pharmacy","674
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Diabetes Management","679
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
077","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","30","3.936","93.3",".",".",".",".","3.3",".",".",".",".",".",".",".",".","3.3","."
"Geriatric Pharmacotherapy","710
001","23","3.870","82.6","13.0",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","740
005","21","3.762","71.4","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","740
006","21","3.810","71.4","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
