"RISK MANAGEMENT AND INSUR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","","212","3.028","34.4","10.4","22.2","11.3","13.7","5.2","2.4","0.5",".",".",".",".",".",".",".","."
"","365
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","","27","3.278","14.8","51.9","14.8","11.1","7.4",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","","45","3.409","48.9","31.1","8.9","6.7","4.4",".",".",".",".",".",".",".",".",".",".","."
"","660
002","","54","3.593","63.0","3.7","27.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","660
003","","32","3.453","37.5","18.8","40.6","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","Course Total","","86","3.541","53.5","9.3","32.6","1.2","3.5",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Risks","701
001","","38","3.803","60.5","39.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
030","","60","3.542","35.0","38.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","875
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","","4","***","","","","","","","","","","","","","","","",""
