"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","23","3.907","91.3",".","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"400
Org&Admin-Ath Training Prgm","001","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"427
Fitness Test & Exer Prescript","001","","19","3.526","47.4","10.5","42.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"457
Med Probs-Exercise & Sports","001","","18","3.611","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"475
Seminar-Athletic Training","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Elem Sch Phy Ed Stdt Tchg","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Secondary-Phys Ed Stdt Tchg","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","58","3.853","81.0","12.1","5.2",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"508","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"508","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Kinesiology","Course Total","","15","3.960","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"523
Clinic Exercise Test&Train","001","","42","3.655","52.4","33.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"531
Neural Control of Movement","001","","27","3.926","85.2","14.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"541
Org&Adm-School Hlth Progms","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"614
Biol Factors-Exercise Perf","001","","26","3.538","50.0","11.5","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"700
Psychological Effects-Exercise","001","","18","3.611","55.6","22.2","16.7",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"779
Hum Muscl Func/Hlth&Disease","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"791
Physical Activity Epidemiology","001","","21","3.571","33.3","52.4","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"885
Seminar-Occupation & Health","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900
Seminar in Kinesiology","001","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 107 of 435",""
