"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Acute Pharmaceut Care Clerkshp","Course Total","42","3.786","71.4","16.7","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"","741
005","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
006","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
005","91","3.764","73.6","14.3","8.8",".","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"","760
006","85","3.853","80.0","12.9","5.9",".","1.2",".",".",".",".",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","176","3.807","76.7","13.6","7.4",".","1.7","0.6",".",".",".",".",".",".",".",".",".","."
"","764
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","764
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","2","***","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy","962
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1807","3.640","59.9","19.0","11.4","4.6","2.3","0.2","0.2","1.4","0.1","0.8",".",".",".",".","0.1","."
