"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","204","3.596","60.8","14.2","15.7","4.9","3.4","0.5","0.5",".",".",".",".",".",".",".",".","."
"421
Intro-Drug Actn&Delivery II","001","","150","3.083","14.0","27.3","30.7","18.7","8.7","0.7",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","137","3.526","45.3","21.2","28.5","1.5","2.9",".",".","0.7",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","156","3.274","32.7","21.8","25.0","9.6","9.0","1.3",".","0.6",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","124","3.315","30.6","29.8","18.5","13.7","7.3",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","150","3.547","46.0","25.3","23.3","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","47","3.979","97.9",".","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Molecular Solids","001","","8","3.714","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
"932","001","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","003","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","50","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","016","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 418 of 435",""
