"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"370
Publ Hlth:Local-Globl Perspect","001","","310","3.492","33.9","41.9","14.8","6.1","2.3","0.3",".",".",".",".",".",".",".",".","0.6","."
"471
Intro-Environmental Health","001","","77","3.604","41.6","37.7","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","16","3.536","37.5","18.8","31.3",".",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","50","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"644
Global Health & Disease","004","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","023","","13","3.792","53.8","38.5",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"650","063","","51","3.814","68.6","25.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","075","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"650","080","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","90","3.842","74.4","20.0","4.4",".",".",".",".","1.1",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","8","3.667","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","26","3.875","84.6",".","7.7",".",".",".",".","3.8",".",".",".",".",".",".","3.8","."
"714
Leadership for PH Improvement","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"740
Hlth Impact of Global Envr Chg","001","","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Health Sys, Mngmnt, & Policy","001","","58","3.596","31.0","55.2","12.1",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"786
Social & Behav Sci-Public Hlth","002","","53","3.896","84.9","11.3","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"787
MPH Field Experience Seminar","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"788
Public Health Field Experience","001","","19","3.905","68.4",".","10.5",".",".",".",".",".",".",".",".",".","21.1",".",".","."
"796
Intro-Health Services Research","001","","7","3.583","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"798
Epidemiologic Methods","001","","26","3.540","42.3","23.1","26.9","3.8",".",".",".",".",".",".",".",".","3.8",".",".","."
"801
Epidemiology-Infect Disease","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Practice of Epidemiology","001","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"845
Sem. Health Mental Health Econ","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"876
Measuring Health Outcomes","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"June 30, 2016","","","","","","","","","","","","","","","","","","","Page 398 of 435",""
